company,fiscal_year,period_end,filing_url,total_revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,cash_flow_from_operating_activities_musd,source_file,total_revenue_musd_yoy_pct,net_income_musd_yoy_pct,total_assets_musd_yoy_pct,total_liabilities_musd_yoy_pct,cash_flow_from_operating_activities_musd_yoy_pct,profit_margin_pct,asset_liability_ratio,operating_cash_flow_margin_pct
Apple,2023,2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,383285,96995,352583,290437,110543,apple_10k_financials_2023_2025.csv,,,,,,25.30623426432028,1.2139741148682848,28.840940814276582
Apple,2024,2024-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,391035,93736,364980,308030,118254,apple_10k_financials_2023_2025.csv,2.021994077514111,-3.3599670086086886,3.516051539637477,6.057423813081675,6.9755660693124,23.971255769943866,1.1848845891633932,30.24128274962599
Apple,2025,2025-09-27,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,416161,112010,359241,285508,111482,apple_10k_financials_2023_2025.csv,6.425511782832749,19.49517794657336,-1.5724149268453114,-7.311625491023599,-5.726656180763445,26.91506412181824,1.2582519579136136,26.788190147563085
Microsoft,2023,2023-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,211915,72361,411976,205753,87582,microsoft_10k_financials_2023_2025.csv,,,,,,34.14623787839464,2.002284292331096,41.32883467427978
Microsoft,2024,2024-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,245122,88136,512163,243686,118548,microsoft_10k_financials_2023_2025.csv,15.66996201307127,21.800417351888445,24.318649630075527,18.43618319052456,35.356580119202576,35.955972944084984,2.1017333781998144,48.36285604719283
Microsoft,2025,2025-06-30,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,281724,101832,619003,275524,136162,microsoft_10k_financials_2023_2025.csv,14.932156232406712,15.539620586366532,20.86054634950201,13.065174035439053,14.85811654350979,36.146015248967075,2.2466391312553533,48.33170052959635
Tesla,2023,2023-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,96773,14999,106618,44318,13256,tesla_10k_financials_2023_2025.csv,,,,,,15.499157822946483,2.4057493569204387,13.698035609105846
Tesla,2024,2024-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,97690,7147,122070,49157,14923,tesla_10k_financials_2023_2025.csv,0.9475783534663496,-52.350156677111805,14.492862368455617,10.91881402590369,12.57543753771877,7.315999590541508,2.48326789673902,15.275872658409254
Tesla,2025,2025-12-31,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/tsla-20251231.htm,94830,3790,135000,52863,14747,tesla_10k_financials_2023_2025.csv,-2.9276282116900365,-46.970756960962646,10.592283116244783,7.539109384217912,-1.1793875226160933,3.996625540440789,2.553771068611316,15.550985974902456
