company,total_revenue_musd_mean,total_revenue_musd_min,total_revenue_musd_max,total_revenue_musd_std,net_income_musd_mean,net_income_musd_min,net_income_musd_max,net_income_musd_std,total_assets_musd_mean,total_assets_musd_min,total_assets_musd_max,total_assets_musd_std,total_liabilities_musd_mean,total_liabilities_musd_min,total_liabilities_musd_max,total_liabilities_musd_std,cash_flow_from_operating_activities_musd_mean,cash_flow_from_operating_activities_musd_min,cash_flow_from_operating_activities_musd_max,cash_flow_from_operating_activities_musd_std
Apple,396827.0,383285,416161,17186.28,100913.67,93736,112010,9746.88,358934.67,352583,364980,6204.17,294658.33,285508,308030,11839.55,113426.33,110543,118254,4207.16
Microsoft,246253.67,211915,281724,34918.26,87443.0,72361,101832,14747.72,514380.67,411976,619003,103531.32,241654.33,205753,275524,34929.84,114097.33,87582,136162,24593.91
Tesla,96431.0,94830,97690,1460.35,8645.33,3790,14999,5752.75,121229.33,106618,135000,14209.66,48779.33,44318,52863,4285.0,14308.67,13256,14923,915.87
