company,ticker,cik,filing_year,filing_date,accession_number,primary_document,primary_doc_description,archive_url,local_path
Microsoft,MSFT,0000789019,2025,2025-07-30,0000950170-25-100235,msft-20250630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,data/raw/edgar/msft/2025/msft-20250630.htm
Microsoft,MSFT,0000789019,2024,2024-07-30,0000950170-24-087843,msft-20240630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,data/raw/edgar/msft/2024/msft-20240630.htm
Microsoft,MSFT,0000789019,2023,2023-07-27,0000950170-23-035122,msft-20230630.htm,10-K,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,data/raw/edgar/msft/2023/msft-20230630.htm
Tesla,TSLA,0001318605,2025,2025-01-30,0001628280-25-003063,tsla-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,data/raw/edgar/tsla/2025/tsla-20241231.htm
Tesla,TSLA,0001318605,2024,2024-01-29,0001628280-24-002390,tsla-20231231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,data/raw/edgar/tsla/2024/tsla-20231231.htm
Tesla,TSLA,0001318605,2023,2023-01-31,0000950170-23-001409,tsla-20221231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,data/raw/edgar/tsla/2023/tsla-20221231.htm
Apple,AAPL,0000320193,2025,2025-10-31,0000320193-25-000079,aapl-20250927.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/edgar/aapl/2025/aapl-20250927.htm
Apple,AAPL,0000320193,2024,2024-11-01,0000320193-24-000123,aapl-20240928.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/raw/edgar/aapl/2024/aapl-20240928.htm
Apple,AAPL,0000320193,2023,2023-11-03,0000320193-23-000106,aapl-20230930.htm,10-K,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/raw/edgar/aapl/2023/aapl-20230930.htm
